ID-Lattes	Natureza	Tipo	Título	Ano	Pais	Idioma	Tipo-orientação	Nome-orientado	Nome-instituição	Nome-orgao	Nome-curso	Flag-bolsa	Nome-Agência	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Aquisição e condicionamento de sinais cerebrais por eletroencefalografia	2018	Brasil	Português		Letícia Brand, Patricia S. Santos, Thais Y. Midorikawa	Universidade Tecnológica Federal do Paraná		Engenharia de Controle e Automação	NAO	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Controle Ótimo em Tremor Parkinsoniano	2018	Brasil	Português		Bruno G. Nizer, Gabriela C. Goncalves e Lorena De F. Coelho	Universidade Tecnológica Federal do Paraná		Engenharia de Controle e Automação	NAO	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Integração de Controle Eletrônico Através de Comandos de Voz Aplicado em Próteses Mecânicas	2018	Brasil	Português		Eluana Sievert Cardoso, Matheus Herrera Bezerra	Universidade Tecnológica Federal do Paraná		Mecatrônica Industrial	NAO	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Esteira Seletora Controlada via Supervisório	2018	Brasil	Português		Paulo Otávio Bini de Abreu	Universidade Tecnológica Federal do Paraná		Automação Industrial	NAO	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Implementação de um Protótipo de Monitoramento e Controle de Temperatura Usando Sistema Supervisório	2019	Brasil	Português		Alessandro Donizetti; Gustavo Javorsky	Universidade Tecnológica Federal do Paraná		Automação Industrial	NAO	
2055998711979194	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Software de Distribuição Logística Automobilística (SDLA)	2012	Brasil	Português		Agnelo Santos, Michel Leandro	Faculdades Integradas de São Paulo		Engenharia Elétrica	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Kalibro: uma ferramenta de configuração e interpretação de métricas	2009	Brasil	Português		Carlos Morais	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Código Limpo e seu Mapeamento para Métricas de Código-fonte	2010	Brasil	Português		João Machini de Miranda	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Código Limpo e seu Mapeamento para Métricas de Código-fonte	2010	Brasil	Português		Lucianna Thomaz Almeida	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um Guia para Testes de Escalabilidade de Serviços Web	2013	Brasil	Português		Diego de Araújo Martinez Camarinha	Universidade de São Paulo		Ciências de Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Redes de colaboração social para as universidades brasileiras: um estudo de caso de implantação e desenvolvimento distribuído de uma plataforma livre na Universidade de Brasília	2013	Brasil	Português		Daniel Costa Bucher	Universidade de Brasília		Engenharia de Software	SIM	Conselho Nacional de Desenvolvimento Científico e Tecnológico
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Técnicas de usabilidade e testes automatizados em processos de desenvolvimento de software empírico	2014	Brasil	Português		Jônatas Medeiros de Mendonça	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Mezuro, Evolução de Software Livre: Da Arquitetura à Experiência do Usuário.	2014	Brasil	Português		Vinícius Vieira Meneses	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Mezuro, Evolução de Software Livre: Da Arquitetura à Experiência do Usuário.	2014	Brasil	Português		Renan Costa Filgueiras	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Cenário de Decisões Baseado em Métricas de Software: Definição e Implementação de Cenários a partir de Métricas de Produto e de Vulnerabilidade para Tomada de Decisão	2014	Brasil	Português		Carlos Filipe Lima Bezerra	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Cenário de Decisões Baseado em Métricas de Software: Definição e Implementação de Cenários a partir de Métricas de Produto e de Vulnerabilidade para Tomada de Decisão	2014	Brasil	Português		Arthur de Moura Del Esposte	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Solução Computacional para Reconhecimento de Harmonias Musicais	2014	Brasil	Português		José Pedro de Santana Neto	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estudo da correlação entre métricas de código fonte do sistema Android e seus aplicativos	2015	Brasil	Português		Marcos Ronaldo Pereira Júnior	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Modelos de Predição para Monitoramento de Métricas de Ameaças de Vulnerabilidade de Código Fonte	2015	Brasil	Português		Lucas Kanashiro Duarte	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Conversão de metadados Dublincore para RDF: Integração para bibliotecas de Participação Social	2014	Brasil	Português		Luiz Fernando de Freitas Matos	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Evoluindo uma plataforma de rede de colaboração social para um ambiente de aprendizagem virtual	2015	Brasil	Português		Hebert Dougles de Almeida Santos	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Análise Exploratória do Projeto Mezuro: uma Proposta de Evolução da Apresentação das Métricas de Código-fonte	2016	Brasil	Português		Álvaro Fernando Matos de Souza	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Implantação automatizada de aplicações web em ambientes Debian GNU/Linux	2016	Brasil	Português		Thiago de Souza Fonseca Ribeiro	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estratégia de contexto temporal em recomendação de pacotes GNU/Linux	2016	Brasil	Português		Lucas Albuquerque Medeiros de Moura	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estratégia de contexto temporal em recomendação de pacotes GNU/Linux	2016	Brasil	Português		Luciano Prestes Cavalcanti	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Aplicação de Software Analytics e o Algoritmo de Ranqueamento de Páginas Para Apoiar Decisões de Planejamento de Sprint	2016	Brasil	Português		Alessandro Caetano Beltrão	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estudo comparativo entre o desenvolvimento de aplicativos móveis utilizando abordagem nativa e multiplataforma	2016	Brasil	Português		Beatriz Rezener Dourado Matos	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estudo comparativo entre o desenvolvimento de aplicativos móveis utilizando abordagem nativa e multiplataforma	2016	Brasil	Português		João Gabriel de Britto e Silva	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Estudo de barreiras para contribuir com projetos de software público brasileiro	2016	Brasil	Português		Camila Ferreira Pereira Silva	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Kiskadee: Sistema de monitoramento e análise contínua de código fonte	2017	Brasil	Português		David Carlos de Araújo Silva	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Processamento de dados em uma plataforma de cidades inteligentes	2017	Brasil	Português		Dylan Jefferson Maurício Guimarães Guedes	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Ecossistema de Startups do Distrito Federal e sua maturidade	2017	Brasil	Português		Eduardo de Oliveira Castro	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Implementação de uma Interface de Programação e uma Arquitetura de Plugins para a plataforma de participação social ?Empurrando Juntos?	2017	Brasil	Português		Emilie Trindade de Morais	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Implementação de uma Interface de Programação e uma Arquitetura de Plugins para a plataforma de participação social ?Empurrando Juntos?	2017	Brasil	Português		Ítalo Paiva Batista	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Implementation of federation protocol for social networks	2017	Brasil	Português		Gabriel dos Santos Silva	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um Estudo da Interferência Entre Máquinas Virtuais em seus Desempenhos	2016	Brasil	Português		Maxwell Almeida Santos	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um relato de experiência de melhoria de processo aplicando ciclo PDCA em uma pequena empresa	2016	Brasil	Português		Pedro Vinícius Zanini Guimarães	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Clusterização de dados para identificação de grupos de opinião em uma ferramenta de participação social	2017	Brasil	Português		Tallys Gustavo Martins	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um estudo empírico sobre métricas de código fonte do Android API Framework	2018	Brasil	Português		Victor Henrique Magalhães Fernandes	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Proposta de Guia Comparativo para Desenvolvimento de Aplicativos Móveis	2018	Brasil	Português		Felipe César Silveira de Assis	Universidade de Brasília		Engenharia de Software	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um serviço para o desenvolvimento de aplicações de visualização de dados de saúde georreferenciados	2018	Brasil	Português		Eduardo Gonçalves Pinheiro	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		A Brazilian Public Health Geospatial Surveillance Platform: a development case study	2019	Brasil	Inglês		Gabriely Rangel Pereira	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Linux Device Driver Development: a report from the trenches	2019	Brasil	Português		Marcelo Schmitt	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		StarFLOSS: An observatory of Free Software Communities	2019	Brasil	Inglês		Camila Naomi Kodaira	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		StarFLOSS: An observatory of Free Software Communities	2019	Brasil	Inglês		Felipe Caetano Silva	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Um Modelo de Banco de Dados Analítico para Dados de Saúde Pública	2019	Brasil	Português		Andre Akira Hayashi	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		How to contribute to the Linux kernel project: the case of the FLUSP group	2019	Brasil	Inglês		Bárbara de Castro Fernandes	Universidade de São Paulo		Ciência da Computação	NAO	
2193972715230641	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		Técnicas de usabilidade e testes automatizados em processos de desenvolvimento de software empírico	2014	Brasil	Português		Rodrigo Medeiros Soares da Silva	Universidade de Brasília		Engenharia de Software	NAO	
5834088144837137	TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO		ESTUDO DOS PROCESSOS DE AQUISIÇÃO E IDENTIFICAÇÃO DE TRANSFERÊNCIA HORIZONTAL DE GENES	2006	Brasil	Português		Juliana Rosa Da Costa	Centro Universitário Fundação Santo André		Biologia	NAO	
